Total Nacional;Municipios;Sexo;Periodo;Total
Total Nacional;01039 Moreda de Álava/Moreda Araba;Total;2024;215
Total Nacional;01039 Moreda de Álava/Moreda Araba;Total;2023;208
Total Nacional;01039 Moreda de Álava/Moreda Araba;Total;2022;216
Total Nacional;01039 Moreda de Álava/Moreda Araba;Total;2021;212
Total Nacional;01039 Moreda de Álava/Moreda Araba;Hombres;2025;117
Total Nacional;01039 Moreda de Álava/Moreda Araba;Hombres;2024;114
Total Nacional;01039 Moreda de Álava/Moreda Araba;Hombres;2023;110
Total Nacional;01039 Moreda de Álava/Moreda Araba;Hombres;2022;112
Total Nacional;01039 Moreda de Álava/Moreda Araba;Hombres;2021;109
Total Nacional;01039 Moreda de Álava/Moreda Araba;Mujeres;2025;101
Total Nacional;01039 Moreda de Álava/Moreda Araba;Mujeres;2024;101
Total Nacional;01039 Moreda de Álava/Moreda Araba;Mujeres;2023;98
Total Nacional;01039 Moreda de Álava/Moreda Araba;Mujeres;2022;104
Total Nacional;01039 Moreda de Álava/Moreda Araba;Mujeres;2021;103
Total Nacional;01041 Navaridas;Total;2025;200
Total Nacional;01041 Navaridas;Total;2024;203
Total Nacional;01041 Navaridas;Total;2023;198
Total Nacional;01041 Navaridas;Total;2022;204
Total Nacional;01041 Navaridas;Total;2021;196
Total Nacional;01041 Navaridas;Hombres;2025;111
Total Nacional;01041 Navaridas;Hombres;2024;114
Total Nacional;01041 Navaridas;Hombres;2023;109
Total Nacional;01041 Navaridas;Hombres;2022;116
Total Nacional;01041 Navaridas;Hombres;2021;110
Total Nacional;01041 Navaridas;Mujeres;2025;89
Total Nacional;01041 Navaridas;Mujeres;2024;89
Total Nacional;01041 Navaridas;Mujeres;2023;89
Total Nacional;01041 Navaridas;Mujeres;2022;88
Total Nacional;01041 Navaridas;Mujeres;2021;86
Total Nacional;01042 Okondo;Total;2025;1.180
Total Nacional;01042 Okondo;Total;2024;1.190
Total Nacional;01042 Okondo;Total;2023;1.196
Total Nacional;01042 Okondo;Total;2022;1.185
Total Nacional;01042 Okondo;Total;2021;1.195
Total Nacional;01042 Okondo;Hombres;2025;619
Total Nacional;01042 Okondo;Hombres;2024;626
Total Nacional;01042 Okondo;Hombres;2023;628
Total Nacional;01042 Okondo;Hombres;2022;625
Total Nacional;01042 Okondo;Hombres;2021;626
Total Nacional;01042 Okondo;Mujeres;2025;561
Total Nacional;01042 Okondo;Mujeres;2024;564
Total Nacional;01042 Okondo;Mujeres;2023;568
Total Nacional;01042 Okondo;Mujeres;2022;560
Total Nacional;01042 Okondo;Mujeres;2021;569
Total Nacional;01043 Oyón-Oion;Total;2025;3.541
Total Nacional;01043 Oyón-Oion;Total;2024;3.456
Total Nacional;01043 Oyón-Oion;Total;2023;3.462
Total Nacional;01043 Oyón-Oion;Total;2022;3.454
